i;t;RTFR ;Pop;RoadDensity
1;1;18,80;1534,2;251,00
1;2;18,50;1538,5;600,11
1;3;16,60;1542,5;638,55
1;4;17,50;1546;675,14
1;5;13,37;1549;703,69
2;1;21,20;1269,9;194,00
2;2;18,90;1259,1;280,19
2;3;20,90;1248,1;303,99
2;4;22,50;1237,8;306,57
2;5;19,85;1229,3;306,77
3;1;34,20;1436,5;314,00
3;2;31,50;1426,9;315,03
3;3;30,60;1417,5;329,55
3;4;31,60;1409,5;332,34
3;5;27,76;1401,4;335,63
4;1;24,40;2333,2;207,00
4;2;26,40;2330,9;302,79
4;3;25,30;2329,7;319,03
4;4;27,20;2330,1;323,21
4;5;23,28;2332,3;327,47
5;1;16,60;1057,1;248,00
5;2;17,80;1051,5;312,78
5;3;14,60;1046,1;332,60
5;4;14,70;1040;339,81
5;5;12,29;1033,4;332,94
6;1;33,40;1008,7;307,00
6;2;36,50;1006,9;312,34
6;3;30,70;1005,1;318,29
6;4;37,50;1007,5;318,61
6;5;26,53;1010,1;321,35
7;1;15,20;664,1;92,00
7;2;12,10;660,3;111,59
7;3;13,70;657,6;127,29
7;4;14,50;655,4;130,23
7;5;13,17;652,9;132,83
8;1;23,60;1123,6;247,00
8;2;27,40;1120,4;336,09
8;3;23,40;1119,1;345,35
8;4;23,50;1118,2;351,83
8;5;21,82;1118,7;356,73
9;1;24,60;1169;264,00
9;2;23,30;1164,1;482,23
9;3;22,60;1161,1;507,48
9;4;24,40;1158,9;513,53
9;5;18,32;1157;520,14
11;1;26,90;783,4;234,00
11;2;23,10;778,5;336,17
11;3;18,20;772,9;358,29
11;4;22,90;767,6;363,39
11;5;19,29;762,5;363,73
12;1;32,90;1150,1;203,00
12;2;32,30;1146,5;227,70
12;3;26,90;1142,7;257,84
12;4;28,70;1138,1;260,57
12;5;25,78;1132,8;264,30
13;1;28,30;981,7;181,00
13;2;22,40;977,8;266,05
13;3;26,00;971,5;277,72
13;4;25,80;966,3;279,30
13;5;19,02;961,7;283,20
14;1;19,50;1086,1;191,00
14;2;23,00;1079,2;258,52
14;3;21,60;1072,3;284,30
14;4;23,50;1065,7;285,52
14;5;19,12;1056,4;282,00
15;1;23,30;1346,2;186,00
15;2;22,50;1338,2;210,94
15;3;23,20;1329,7;230,19
15;4;26,20;1320,2;243,90
15;5;20,85;1309,9;248,31
16;1;27,10;1547,5;224,00
16;2;25,10;1538,5;364,19
16;3;24,00;1527;389,23
16;4;25,60;1517,5;392,70
16;5;24,24;1510;394,62
17;1;22,40;1271;196,00
17;2;22,30;1271,3;256,41
17;3;20,60;1271,7;262,46
17;4;21,70;1271,7;263,89
17;5;18,32;1271,8;265,41
19;1;16,10;641,1;37,00
19;2;17,20;638,3;44,05
19;3;17,10;635,7;46,21
19;4;15,00;633,5;46,96
19;5;14,73;631,2;47,14
20;1;14,00;894,5;14,00
20;2;15,10;885,2;14,22
20;3;15,10;876,4;15,02
20;4;16,20;868,2;15,36
20;5;14,53;860,6;15,52
22;1;17,90;1176,9;26,61
22;2;18,40;1165,3;27,97
22;3;16,72;1154,1;29,25
22;4;18,60;1144,4;29,21
22;5;11,98;1135,1;29,47
23;1;18,10;1199,9;82,00
23;2;17,30;1197,4;101,30
23;3;16,70;1194,8;114,16
23;4;15,70;1192,2;118,26
23;5;11,60;1189,3;117,78
24;1;19,00;944,3;427,00
24;2;20,30;950,8;440,36
24;3;18,00;958,9;492,00
24;4;17,00;966;511,40
24;5;17,27;972,7;513,07
25;1;37,20;1726,2;137,00
25;2;36,80;1742,5;180,35
25;3;36,10;1757,5;210,81
25;4;39,80;1769,7;211,53
25;5;34,37;1777,2;207,11
26;1;10,60;791;20,00
26;2;10,80;784,2;22,57
26;3;7,60;775,7;22,63
26;4;10,70;768,7;22,70
26;5;7,33;764,2;22,88
27;1;36,60;631,3;177,00
27;2;34,40;627,8;191,63
27;3;29,00;624,2;202,06
27;4;32,10;620,6;196,32
27;5;27,38;617,2;198,02
28;1;38,30;669,1;230,00
28;2;37,20;664,2;271,95
28;3;33,10;659;287,41
28;4;33,50;653,8;291,69
28;5;27,89;648,8;299,33
30;1;26,50;441,2;556,00
30;2;25,00;443,5;561,50
30;3;27,40;445,4;564,41
30;4;25,00;447,8;563,63
30;5;29,09;450,3;563,44
31;1;34,10;287,8;40,00
31;2;34,70;285,4;43,06
31;3;36,70;283,1;45,55
31;4;34,10;281,3;47,30
31;5;33,25;279,6;46,80
32;1;22,40;5257,2;296,00
32;2;22,40;5307,3;419,08
32;3;25,10;5367,2;427,69
32;4;25,50;5428,8;437,55
32;5;20,64;5483,6;447,03
33;1;18,60;1012,4;75,00
33;2;16,60;1014,4;80,55
33;3;16,50;1015,2;83,90
33;4;15,30;1018,9;87,07
33;5;13,44;1020;88,08
34;1;17,50;2601,2;119,00
34;2;16,70;2588,9;134,16
34;3;17,20;2576;139,71
34;4;17,20;2563,3;140,28
34;5;13,52;2551,7;140,87
35;1;19,10;4267,9;139,00
35;2;19,30;4257,6;202,27
35;3;18,40;4250,1;258,28
35;4;21,00;4243,8;259,75
35;5;15,95;4239;261,41
36;1;19,40;2922,3;384,00
36;2;17,40;2938,2;371,30
36;3;16,30;2955;370,00
36;4;16,30;2977,1;370,20
36;5;16,52;3003;396,78
38;1;27,50;859,4;472,00
38;2;24,70;859;528,88
38;3;24,00;858,7;544,74
38;4;21,60;859,6;564,88
38;5;19,50;861,5;564,83
39;1;26,90;476,1;254,00
39;2;28,10;473,2;296,85
39;3;27,80;470,8;331,15
39;4;30,00;469,5;334,32
39;5;27,54;468,4;340,78
40;1;21,50;710,8;437,00
40;2;22,00;707,6;663,18
40;3;18,60;705,1;695,94
40;4;20,30;704,6;697,18
40;5;16,89;704,5;691,35
42;1;17,70;2786,3;146,00
42;2;18,10;2788,9;232,45
42;3;18,70;2792,6;257,70
42;4;20,00;2797;263,62
42;5;17,14;2800,6;267,15
43;1;17,80;4068,2;165,00
43;2;17,40;4062,6;189,93
43;3;17,40;4065,3;206,46
43;4;17,30;4070,8;259,61
43;5;14,83;4071,5;295,97
44;1;16,60;693,9;154,00
44;2;21,80;691,4;194,72
44;3;21,00;689,5;205,09
44;4;19,60;688,1;209,03
44;5;14,71;686,7;209,94
45;1;21,50;829,4;193,00
45;2;26,60;822;255,97
45;3;24,20;815,4;268,46
45;4;24,90;810,5;275,63
45;5;18,93;808,2;282,97
46;1;18,30;3795,3;321,00
46;2;18,20;3812,6;412,99
46;3;18,50;3830,1;406,17
46;4;16,00;3846,6;416,30
46;5;12,74;3861,9;422,65
