i;t;Cars            ;Buses;Trucks
1;1;226,40;2,03;6,50
1;2;245,70;2,06;6,74
1;3;288,40;2,11;6,44
1;4;304,27;2,17;6,43
1;5;308,82;2,14;6,20
2;1;129,40;1,44;6,98
2;2;139,30;1,46;7,24
2;3;166,60;1,37;6,93
2;4;186,80;1,47;7,00
2;5;192,62;1,41;6,65
3;1;223,60;1,28;5,78
3;2;238,40;1,27;5,82
3;3;266,30;1,36;5,82
3;4;272,78;1,37;5,76
3;5;288,41;1,33;5,70
4;1;249,80;1,73;6,65
4;2;280,20;1,76;6,82
4;3;283,70;1,85;6,71
4;4;289,20;1,74;6,77
4;5;326,15;1,75;6,71
5;1;183,10;1,05;3,87
5;2;196,50;1,31;3,90
5;3;223,70;1,41;3,80
5;4;241,13;1,26;3,82
5;5;249,21;1,02;3,44
6;1;240,70;2,05;6,02
6;2;276,80;2,04;5,92
6;3;290,30;2,08;5,66
6;4;306,03;2,07;5,51
6;5;314,51;1,96;5,17
7;1;225,10;1,94;6,54
7;2;235,90;1,91;6,63
7;3;252,60;1,93;6,18
7;4;266,41;1,73;5,74
7;5;279,27;1,78;5,55
8;1;254,20;1,67;6,48
8;2;237,00;1,69;6,22
8;3;250,50;1,70;6,02
8;4;299,43;1,74;5,84
8;5;304,55;1,80;5,66
9;1;263,40;2,03;6,94
9;2;277,00;2,05;7,15
9;3;294,70;2,06;7,23
9;4;304,11;2,00;6,82
9;5;310,07;2,01;6,52
11;1;247,30;1,71;8,20
11;2;271,70;1,68;8,58
11;3;302,50;1,63;8,12
11;4;309,93;1,62;7,81
11;5;317,82;1,54;7,38
12;1;297,60;1,69;6,18
12;2;340,20;1,62;6,04
12;3;320,80;1,61;6,24
12;4;333,10;1,58;5,53
12;5;336,29;1,57;5,07
13;1;244,70;1,82;8,12
13;2;263,50;1,78;8,09
13;3;284,00;1,78;8,84
13;4;233,21;1,76;8,93
13;5;241,03;1,65;8,12
14;1;227,50;1,37;7,51
14;2;239,10;1,39;7,63
14;3;257,70;1,49;7,81
14;4;273,39;1,49;7,48
14;5;281,96;1,42;7,30
15;1;297,60;1,87;6,57
15;2;319,00;1,92;6,43
15;3;340,50;1,91;6,31
15;4;363,75;1,91;6,06
15;5;378,83;1,79;5,16
16;1;274,60;1,74;5,47
16;2;291,30;1,52;5,30
16;3;302,30;1,57;5,30
16;4;303,84;1,58;5,19
16;5;308,92;1,40;4,95
17;1;188,40;1,77;5,18
17;2;194,80;1,85;5,58
17;3;223,70;1,78;5,06
17;4;236,16;1,71;4,85
17;5;243,47;1,64;4,45
19;1;281,50;1,48;5,70
19;2;300,40;1,49;5,55
19;3;330,10;1,72;5,68
19;4;346,64;1,51;5,76
19;5;370,01;1,20;4,38
20;1;221,20;2,84;8,35
20;2;242,80;2,99;8,40
20;3;268,10;2,98;8,88
20;4;285,07;3,24;10,24
20;5;290,63;2,90;8,97
22;1;207,30;1,68;0,28
22;2;227,50;1,70;0,30
22;3;249,90;1,56;0,38
22;4;263,10;1,58;0,33
22;5;262,40;1,52;0,36
23;1;240,40;2,06;7,10
23;2;254,70;2,08;7,03
23;3;290,10;1,99;6,69
23;4;303,69;1,87;6,43
23;5;303,50;1,67;5,88
24;1;293,10;1,25;4,30
24;2;310,20;1,52;5,09
24;3;330,30;1,59;5,42
24;4;332,73;1,58;5,79
24;5;388,51;1,64;5,39
25;1;282,30;1,37;4,47
25;2;284,40;1,36;4,56
25;3;283,70;1,46;4,50
25;4;294,77;1,36;4,61
25;5;298,45;1,23;4,50
26;1;266,00;1,90;4,24
26;2;278,50;2,09;4,07
26;3;307,10;2,12;4,03
26;4;297,47;1,77;3,48
26;5;300,05;1,78;3,57
27;1;233,10;1,98;8,63
27;2;255,10;1,62;8,66
27;3;275,70;1,85;8,68
27;4;291,65;1,84;8,68
27;5;294,39;1,89;8,65
28;1;239,50;2,18;8,35
28;2;292,10;2,17;7,94
28;3;345,30;2,15;7,95
28;4;371,49;2,13;6,95
28;5;375,98;2,06;6,34
30;1;250,40;1,36;4,71
30;2;260,80;1,42;4,78
30;3;267,60;1,32;4,58
30;4;276,12;1,27;4,52
30;5;285,15;1,25;4,23
31;1;193,40;1,78;5,73
31;2;234,80;1,73;5,46
31;3;262,00;1,83;5,16
31;4;284,26;1,81;4,82
31;5;290,83;1,77;4,51
32;1;261,70;1,85;5,52
32;2;277,10;1,91;5,51
32;3;289,50;1,91;5,31
32;4;298,28;1,89;5,05
32;5;300,79;1,72;4,88
33;1;236,90;2,00;4,21
33;2;256,20;1,90;3,86
33;3;238,70;1,97;4,08
33;4;247,28;1,85;3,90
33;5;254,16;1,82;3,61
34;1;218,00;1,80;6,03
34;2;228,50;1,78;5,85
34;3;234,00;1,66;5,45
34;4;265,02;1,51;5,27
34;5;335,00;1,53;5,11
35;1;243,50;1,80;6,55
35;2;260,50;1,92;6,61
35;3;289,30;1,93;6,68
35;4;296,55;1,97;6,50
35;5;297,55;1,87;6,15
36;1;121,30;0,56;1,36
36;2;132,50;0,53;1,26
36;3;154,30;0,52;1,00
36;4;164,51;0,51;1,00
36;5;172,06;0,56;0,88
38;1;169,10;0,93;1,76
38;2;187,40;0,79;1,63
38;3;212,50;0,76;1,61
38;4;217,52;0,84;1,66
38;5;223,22;0,57;1,56
39;1;193,40;1,72;3,74
39;2;198,30;1,73;4,26
39;3;214,40;1,69;4,36
39;4;215,20;1,61;3,96
39;5;201,40;1,50;4,06
40;1;206,80;1,19;2,26
