i;t;Alco;BlackIce;SnowStorm;Heat
1;1;5,53;0,0000;0,0000;0,0000
1;2;5,62;0,0000;0,0000;0,0000
1;3;5,78;0,0000;0,0000;0,0000
1;4;5,76;0,0000;0,0000;0,0000
1;5;5,36;0,0000;0,0000;0,0000
2;1;8,43;0,0000;0,0000;0,0000
2;2;8,07;0,0000;0,0000;0,0000
2;3;6,71;0,0000;0,0000;0,0000
2;4;6,51;0,0000;0,0000;0,0000
2;5;5,73;0,0000;0,0000;0,0000
3;1;8,86;0,0000;0,0000;0,0000
3;2;8,66;0,0000;0,0000;0,0000
3;3;8,37;0,0000;0,0000;0,0000
3;4;7,61;0,0000;0,0000;0,0000
3;5;7,31;0,0000;0,0000;0,0000
4;1;8,63;0,0000;0,0000;0,0000
4;2;9,04;0,0000;0,0000;0,0000
4;3;8,89;0,0000;0,0000;0,0000
4;4;6,42;0,0000;0,0000;0,0000
4;5;5,34;0,0000;0,0000;0,0000
5;1;10,57;0,0000;0,0000;0,0000
5;2;11,05;0,0000;0,0000;0,0000
5;3;9,66;0,0000;0,0000;0,0000
5;4;8,01;0,0000;0,0000;0,0000
5;5;7,72;0,0000;0,0000;0,0000
6;1;9,38;0,0000;0,0000;0,0000
6;2;9,84;0,0000;0,0000;0,0000
6;3;9,21;0,0000;0,0000;0,0000
6;4;7,64;0,0000;0,0000;0,0000
6;5;6,99;0,0000;0,0000;0,0000
7;1;9,18;0,0000;0,0000;0,0000
7;2;10,27;0,0000;0,0000;0,0000
7;3;8,73;0,0000;0,0000;0,0000
7;4;7,73;0,0000;0,0000;0,0000
7;5;6,66;0,0000;0,0000;0,0000
8;1;7,86;0,0000;0,0000;0,0000
8;2;7,30;0,0000;0,0000;0,0000
8;3;6,96;0,0000;0,0000;0,0000
8;4;5,50;0,0000;0,0000;0,0000
8;5;4,92;0,0000;0,0000;0,0000
9;1;8,65;0,0000;0,0000;0,0000
9;2;8,22;0,0000;0,0000;0,0000
