i;t;RTFR ;Pop;RoadDensity;Cars            ;Buses;Trucks;Alco;BlackIce;SnowStorm;Heat
1;1;18,80;1534,2;251,00;226,40;2,03;6,50;5,53;0,0000;0,0000;0,0000
1;2;18,50;1538,5;600,11;245,70;2,06;6,74;5,62;0,0000;0,0000;0,0000
1;3;16,60;1542,5;638,55;288,40;2,11;6,44;5,78;0,0000;0,0000;0,0000
1;4;17,50;1546;675,14;304,27;2,17;6,43;5,76;0,0000;0,0000;0,0000
1;5;13,37;1549;703,69;308,82;2,14;6,20;5,36;0,0000;0,0000;0,0000
2;1;21,20;1269,9;194,00;129,40;1,44;6,98;8,43;0,0000;0,0000;0,0000
2;2;18,90;1259,1;280,19;139,30;1,46;7,24;8,07;0,0000;0,0000;0,0000
2;3;20,90;1248,1;303,99;166,60;1,37;6,93;6,71;0,0000;0,0000;0,0000
2;4;22,50;1237,8;306,57;186,80;1,47;7,00;6,51;0,0000;0,0000;0,0000
2;5;19,85;1229,3;306,77;192,62;1,41;6,65;5,73;0,0000;0,0000;0,0000
3;1;34,20;1436,5;314,00;223,60;1,28;5,78;8,86;0,0000;0,0000;0,0000
3;2;31,50;1426,9;315,03;238,40;1,27;5,82;8,66;0,0000;0,0000;0,0000
3;3;30,60;1417,5;329,55;266,30;1,36;5,82;8,37;0,0000;0,0000;0,0000
3;4;31,60;1409,5;332,34;272,78;1,37;5,76;7,61;0,0000;0,0000;0,0000
3;5;27,76;1401,4;335,63;288,41;1,33;5,70;7,31;0,0000;0,0000;0,0000
4;1;24,40;2333,2;207,00;249,80;1,73;6,65;8,63;0,0000;0,0000;0,0000
4;2;26,40;2330,9;302,79;280,20;1,76;6,82;9,04;0,0000;0,0000;0,0000
4;3;25,30;2329,7;319,03;283,70;1,85;6,71;8,89;0,0000;0,0000;0,0000
4;4;27,20;2330,1;323,21;289,20;1,74;6,77;6,42;0,0000;0,0000;0,0000
4;5;23,28;2332,3;327,47;326,15;1,75;6,71;5,34;0,0000;0,0000;0,0000
5;1;16,60;1057,1;248,00;183,10;1,05;3,87;10,57;0,0000;0,0000;0,0000
5;2;17,80;1051,5;312,78;196,50;1,31;3,90;11,05;0,0000;0,0000;0,0000
5;3;14,60;1046,1;332,60;223,70;1,41;3,80;9,66;0,0000;0,0000;0,0000
5;4;14,70;1040;339,81;241,13;1,26;3,82;8,01;0,0000;0,0000;0,0000
5;5;12,29;1033,4;332,94;249,21;1,02;3,44;7,72;0,0000;0,0000;0,0000
6;1;33,40;1008,7;307,00;240,70;2,05;6,02;9,38;0,0000;0,0000;0,0000
6;2;36,50;1006,9;312,34;276,80;2,04;5,92;9,84;0,0000;0,0000;0,0000
6;3;30,70;1005,1;318,29;290,30;2,08;5,66;9,21;0,0000;0,0000;0,0000
6;4;37,50;1007,5;318,61;306,03;2,07;5,51;7,64;0,0000;0,0000;0,0000
6;5;26,53;1010,1;321,35;314,51;1,96;5,17;6,99;0,0000;0,0000;0,0000
7;1;15,20;664,1;92,00;225,10;1,94;6,54;9,18;0,0000;0,0000;0,0000
7;2;12,10;660,3;111,59;235,90;1,91;6,63;10,27;0,0000;0,0000;0,0000
7;3;13,70;657,6;127,29;252,60;1,93;6,18;8,73;0,0000;0,0000;0,0000
7;4;14,50;655,4;130,23;266,41;1,73;5,74;7,73;0,0000;0,0000;0,0000
7;5;13,17;652,9;132,83;279,27;1,78;5,55;6,66;0,0000;0,0000;0,0000
8;1;23,60;1123,6;247,00;254,20;1,67;6,48;7,86;0,0000;0,0000;0,0000
8;2;27,40;1120,4;336,09;237,00;1,69;6,22;7,30;0,0000;0,0000;0,0000
8;3;23,40;1119,1;345,35;250,50;1,70;6,02;6,96;0,0000;0,0000;0,0000
8;4;23,50;1118,2;351,83;299,43;1,74;5,84;5,50;0,0000;0,0000;0,0000
8;5;21,82;1118,7;356,73;304,55;1,80;5,66;4,92;0,0000;0,0000;0,0000
9;1;24,60;1169;264,00;263,40;2,03;6,94;8,65;0,0000;0,0000;0,0000
9;2;23,30;1164,1;482,23;277,00;2,05;7,15;8,22;0,0000;0,0000;0,0000
9;3;22,60;1161,1;507,48;294,70;2,06;7,23;7,55;0,0000;0,0000;0,0000
9;4;24,40;1158,9;513,53;304,11;2,00;6,82;6,04;0,0000;0,0000;0,0000
9;5;18,32;1157;520,14;310,07;2,01;6,52;4,95;0,0000;0,0000;0,0000
11;1;26,90;783,4;234,00;247,30;1,71;8,20;7,68;0,0000;0,0000;0,0000
11;2;23,10;778,5;336,17;271,70;1,68;8,58;7,81;0,0000;0,0000;0,0000
11;3;18,20;772,9;358,29;302,50;1,63;8,12;7,77;0,0000;0,0000;0,0000
11;4;22,90;767,6;363,39;309,93;1,62;7,81;6,33;0,0000;0,0000;0,0000
11;5;19,29;762,5;363,73;317,82;1,54;7,38;5,78;0,0000;0,0000;0,0000
12;1;32,90;1150,1;203,00;297,60;1,69;6,18;8,07;0,0000;0,0000;0,0000
